taxonID	scientificNameID	localID	scientificName	taxonRank	parentNameUsageID	scientificNameAuthorship	family	subfamily	tribe	subtribe	genus	subgenus	specificEpithet	infraspecificEpithet	verbatimTaxonRank	nomenclaturalStatus	namePublishedIn	taxonomicStatus	acceptedNameUsageID	originalNameUsageID	nameAccordingToID	taxonRemarks	created	modified	references	source	majorGroup	tplID
wfo-0001302066	urn:lsid:ipni.org:names:306212-1	9905968	"Cyperus truncatus"	species		"C.A.Mey. ex Turcz."	Cyperaceae		Cypereae	Cyperinae	Cyperus		truncatus		species	Illegitimate	"Fl. Ross. 4: 241 (1852)"	Synonym	wfo-0000918894			"Source in seed data: tro Update namepublishedIn from Bjull. Moskovsk. Obač. Isp. Prir., Otd. Biol. 103 1838 to Fl. Ross. 4: 241 (1852), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist."	2022-04-16	2025-12-15	https://www.cyperaceae.org/aphia.php?p=taxdetails&id=1687131	"The Cyperaceae TEN"	A	tro-9905968
wfo-0001302067		9905974	"Eleocharis argyrolepis"	species		"Kierulff ex Bunge"	Cyperaceae		Eleocharideae		Eleocharis		argyrolepis		species		"Mém. Acad. Imp. Sci. St.-Pétersbourg Divers Savans 7: 518 1851"	Unchecked				"Source in seed data: tro More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-9905974 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/tro-9905974 >The Plant List v.1.0</a>"	2022-04-16	2025-06-12	https://www.cyperaceae.org/aphia.php?p=taxdetails&id=1682443	"The Cyperaceae TEN"	A	tro-9905974
wfo-0001302068		9905986	"Cyperus globularis"	species		Zinserl.	Cyperaceae		Cypereae	Cyperinae	Cyperus		globularis		species			Unchecked				"Source in seed data: tro More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-9905986 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/tro-9905986 >The Plant List v.1.0</a>"	2022-04-16	2025-06-12	https://www.cyperaceae.org/aphia.php?p=taxdetails&id=1682279	"The Cyperaceae TEN"	A	tro-9905986
wfo-0001302069		9905987	"Cyperus intersita"	species		Zinserl.	Cyperaceae		Cypereae	Cyperinae	Cyperus		intersita		species			Unchecked				"Source in seed data: tro More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-9905987 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/tro-9905987 >The Plant List v.1.0</a>"	2022-04-16	2025-06-12	https://www.cyperaceae.org/aphia.php?p=taxdetails&id=1682328	"The Cyperaceae TEN"	A	tro-9905987
wfo-0001302070		9905988	"Cyperus kamtschatica"	species		Kom.	Cyperaceae		Cypereae	Cyperinae	Cyperus		kamtschatica		species			Unchecked				"Source in seed data: tro More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-9905988 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/tro-9905988 >The Plant List v.1.0</a>"	2022-04-16	2025-06-12	https://www.cyperaceae.org/aphia.php?p=taxdetails&id=1682330	"The Cyperaceae TEN"	A	tro-9905988
wfo-0001302071	urn:lsid:ipni.org:names:77189494-1	9905997	"Eleocharis mamillata subsp. austriaca"	subspecies	wfo-0000404955	"(Hayek) Strandh."	Cyperaceae		Eleocharideae		Eleocharis		mamillata	austriaca	subspecies	Valid	"Opera Bot. 9(2): 9 (1965)"	Accepted		wfo-0000402973		"Source in seed data: tro Update namepublishedIn from to Opera Bot. 9(2): 9 (1965), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-9905997 >The Plant List v.1.1.</"	2022-04-16	2025-12-15	https://www.cyperaceae.org/aphia.php?p=taxdetails&id=1699747	"The Cyperaceae TEN"	A	tro-9905997
wfo-0001302072		9906010	"Eleocharis palustris var. mamillata"	variety		Nyár.	Cyperaceae		Eleocharideae		Eleocharis		palustris	mamillata	variety			Synonym	wfo-0000404955			"Source in seed data: tro More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-9906010 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/tro-9906010 >The Plant List v.1.0</a>"	2022-04-16	2022-04-20		"The Cyperaceae TEN"	A	tro-9906010
wfo-0001302073	urn:lsid:ipni.org:names:77257691-1	9906012	"Eleocharis parvula subsp. oppermannii"	subspecies		Zoz	Cyperaceae		Eleocharideae		Eleocharis		parvula	oppermannii	subspecies	Valid	"Trudy Inst. Bot. Kharkivs'k. Derzhavn. Univ. 1: 46 (1936)"	Synonym	wfo-0000405697			"Source in seed data: tro More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-9906012 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/tro-9906012 >The Plant List v.1.0</a>"	2022-04-16	2025-06-12	https://www.cyperaceae.org/aphia.php?p=taxdetails&id=1703371	"The Cyperaceae TEN"	A	tro-9906012
wfo-0001302074		9906013	"Cyperus paucidentata"	species		Zinserl.	Cyperaceae		Cypereae	Cyperinae	Cyperus		paucidentata		species			Unchecked				"Source in seed data: tro More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-9906013 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/tro-9906013 >The Plant List v.1.0</a>"	2022-04-16	2025-06-12	https://www.cyperaceae.org/aphia.php?p=taxdetails&id=1682335	"The Cyperaceae TEN"	A	tro-9906013
wfo-0001302075		9906014	"Cyperus pauciflora"	species		Link	Cyperaceae		Cypereae	Cyperinae	Cyperus		pauciflora		species			Unchecked				"Source in seed data: tro More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-9906014 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/tro-9906014 >The Plant List v.1.0</a>"	2022-04-16	2025-06-12	https://www.cyperaceae.org/aphia.php?p=taxdetails&id=1682294	"The Cyperaceae TEN"	A	tro-9906014
