cactus_id,legacy_display_name,accepted_name,accepted_author,accepted_genus,species,subfamily,tribe,names_count,all_names,all_names_with_status,photo_main_url,photo_flower_url,photo_spines_url,morphology_stem,morphology_spines,morphology_flower,morphology_fruit,notes_ru
wfo-0000632357,Opuntia campii,Cylindropuntia × campii,(M.A.Baker & Pinkava) M.A.Baker & Pinkava,Cylindropuntia,campii,,,2,Cylindropuntia × campii | Opuntia campii,Cylindropuntia × campii [Accepted] | Opuntia campii [Synonym],,,,,,,,
wfo-0000632393,Opuntia cardenche,Cylindropuntia cardenche,(Griffiths) F.M.Knuth,Cylindropuntia,cardenche,,,2,Cylindropuntia cardenche | Opuntia cardenche,Cylindropuntia cardenche [Synonym] | Opuntia cardenche [Synonym],,,,,,,,
wfo-0000632361,Opuntia ciribe,Cylindropuntia ciribe,(Engelm.) F.M.Knuth,Cylindropuntia,ciribe,,,2,Cylindropuntia ciribe | Opuntia ciribe,Cylindropuntia ciribe [Accepted] | Opuntia ciribe [Synonym],,,,,,,,
wfo-0000632409,Opuntia clavellina,Cylindropuntia clavellina,(Engelm. ex J.M.Coult.) F.M.Knuth,Cylindropuntia,clavellina,,,2,Cylindropuntia clavellina | Opuntia clavellina,Cylindropuntia clavellina [Synonym] | Opuntia clavellina [Synonym],,,,,,,,
wfo-0000632368,Cylindropuntia delgadilloana,Cylindropuntia delgadilloana,Rebman & Pinkava,Cylindropuntia,delgadilloana,,,1,Cylindropuntia delgadilloana,Cylindropuntia delgadilloana [Accepted],,,,,,,,
wfo-0000632382,Cylindropuntia × grantiorum,Cylindropuntia × grantiorum,P.V.Heath,Cylindropuntia,grantiorum,,,1,Cylindropuntia × grantiorum,Cylindropuntia × grantiorum [Accepted],,,,,,,,
wfo-0000632354,Grusonia hamiltonii,Cylindropuntia hamiltonii,(H.E.Gates ex Backeb.) Backeb.,Cylindropuntia,hamiltonii,,,5,Cylindropuntia hamiltonii | Cylindropuntia rosarica | Grusonia hamiltonii | Opuntia hamiltonii | Opuntia rosarica,Cylindropuntia hamiltonii [Synonym] | Cylindropuntia rosarica [Synonym] | Grusonia hamiltonii [Synonym] | Opuntia hamiltonii [Synonym] | Opuntia rosarica [Synonym],,,,,,,,
wfo-0000632394,Opuntia lloydii,Cylindropuntia lloydii,(Rose) F.M.Knuth,Cylindropuntia,lloydii,,,2,Cylindropuntia lloydii | Opuntia lloydii,Cylindropuntia lloydii [Synonym] | Opuntia lloydii [Synonym],,,,,,,,
wfo-0000632404,Cylindropuntia × media,Cylindropuntia × media,P.V.Heath,Cylindropuntia,media,,,1,Cylindropuntia × media,Cylindropuntia × media [Accepted],,,,,,,,
wfo-0000632412,Opuntia multigeniculata,Cylindropuntia multigeniculata,(Clokey) Backeb.,Cylindropuntia,multigeniculata,,,2,Cylindropuntia multigeniculata | Opuntia multigeniculata,Cylindropuntia multigeniculata [Accepted] | Opuntia multigeniculata [Synonym],,,,,,,,
