tax_id,accepted_name,synonym,symbol,synonym_symbol,name
762193,Gymnocalycium pflanzii subsp. zegarrae,Gymnocalycium zegarrae,,,
762194,Gymnocalycium zegarrae var. riograndense,Gymnocalycium riograndense,,,
1163607,Opuntia triacanthos,Cactus triacanthos,,,
1163607,Opuntia triacanthos,Opuntia triacantha,,,
393609,Opuntia albicarpa (nom. inval.),Opuntia albicarpa,,,
393614,Grusonia,Corynopuntia,,,
278519,Mammillaria crinita subsp. scheinvariana,Mammillaria scheinvariana,,,
106973,Maihuenia,Pereskia subgen. Maihuenia,,,
106974,Maihuenia poeppigii,Opuntia poeppigii,,,
106975,Opuntia,Nopalea,,,
106976,Grusonia bradtiana,Cereus bradtianus,,,
106976,Grusonia bradtiana,Opuntia bradtiana,,,
106977,Grusonia clavata,Corynopuntia clavata,,,
106977,Grusonia clavata,Opuntia clavata,,,
106979,Cumulopuntia sphaerica,Opuntia kuehnrichiana,,,
106979,Cumulopuntia sphaerica,Opuntia sphaerica,,,
106979,Cumulopuntia sphaerica,Puna subterranea,,,
106980,Grusonia marenae,Corynopuntia marenae,,,
106980,Grusonia marenae,Opuntia marenae,,,
106981,Austrocylindropuntia pachypus,Opuntia pachypus,,,
106982,Austrocylindropuntia subulata,Opuntia subulata,,,
929821,Ariocarpus fissuratus subsp. lloydii,Ariocarpus lloydii,,,
929825,Ariocarpus kotschoubeyanus subsp. macdowellii,Ariocarpus macdowellii,,,
2056763,Eulychnia ritteri,Eulychnia iquiquensis subsp. ritteri,,,
2056764,Eulychnia taltalensis,Eulychnia breviflora var. taltalensis,,,
1548869,Cephalocereus totolapensis,Neodawsonia totolapensis,,,
1548872,Echinocereus bonkerae,Echinocereus fasciculatus var. bonkerae,,,
1548874,Echinocereus koehresianus,Echinocereus scheeri var. koehresianus,,,
500323,Ariocarpus bravoanus,Ariocarpus fissuratus subsp. bravoanus,,,
278550,Mammillaria melanocentra subsp. rubrograndis,Mammillaria rubrograndis,,,
2704054,Cleistocactus winteri,"Cleistocactus aureispinus (F.Ritter) D.R.Hunt, 1987",,,
2704054,Cleistocactus winteri,Hildewintera aureispina,,,
2704054,Cleistocactus winteri,Winterocereus aureispinus,,,
278566,Mammillaria petrophila subsp. baxteriana,Neomammillaria baxteriana,,,
278567,Mammillaria phitauiana,Neomammillaria phitauiana,,,
278572,Mammillaria pondii subsp. setispina,Cactus setispinus,,,
278572,Mammillaria pondii subsp. setispina,Cochemiea pondii subsp. setispina,,,
278572,Mammillaria pondii subsp. setispina,Mammillaria setispina,,,
867515,Ferocactus coptonogonus,Echinocactus coptonogonus,,,
867515,Ferocactus coptonogonus,Stenocactus coptonogonus,,,
1041197,Opuntia arechavaletae,Opuntia arechavaletai,,,
1041200,Consolea falcata,Opuntia falcata,,,
1041201,Consolea moniliformis,Cactus moniliformis,,,
1041202,Consolea nashii,Opuntia nashii,,,
1041204,Consolea spinosissima,Opuntia spinosissima,,,
1041205,Maihueniopsis ovata,Opuntia ovata,,,
278588,Mammillaria gracilis,Mammillaria vetula subsp. gracilis,,,
1041207,Opuntia hondurensis,Nopalea hondurensis,,,
1041208,Opuntia inaperta,Nopalea inaperta,,,
1041209,Opuntia nuda,Nopalea nuda,,,
1041211,Opuntia humifusa var. ammophila,Opuntia ammophila,,,
278589,Mammillaria voburnensis subsp. eichlamii,Mammillaria eichlamii,,,
1041215,Opuntia aureispina,Opuntia macrocentra var. aureispina,,,
1041226,Opuntia chisosensis,Opuntia lindheimeri var. chisosensis,,,
1041235,Opuntia engelmannii var. linguiformis,Opuntia linguiformis,,,
1041237,Opuntia engelmannii var. lindheimeri,Opuntia lindheimeri,,,
1041238,Opuntia erinacea,Opuntia polyacantha var. erinacea,,,
1041240,Opuntia hystricina,Opuntia polyacantha var. hystericina,,,
1041247,Opuntia martiniana,Opuntia macrocentra var. martiniana,,,
1041258,Opuntia pusilla,Cactus pusillus,,,
1041263,Salmonopuntia salmiana,Opuntia salmiana,,,
1041263,Salmonopuntia salmiana,Salmiopuntia salmiana,,,
1041265,Opuntia santa-rita,Opuntia chlorotica var. santa-rita,,,
1041265,Opuntia santa-rita,Opuntia santarita,,,
1041266,Salmonopuntia schickendantzii,Opuntia schickendantzii,,,
1041266,Salmonopuntia schickendantzii,Salmiopuntia schickendantzii,,,
1041273,Opuntia vaseyi,Opuntia littoralis x Opuntia phaeacantha,,,
1041273,Opuntia vaseyi,Opuntia mesacantha var. vaseyi,,,
1041274,Tacinga inamoena,Opuntia inamoena,,,
1041277,Tacinga saxatilis,Platyopuntia saxatilis,,,
983930,Praecereus,Monvillea,,,
983931,Praecereus saxicola,Cereus saxicola,,,
983931,Praecereus saxicola,Monvillea cavendishii,,,
2802628,Pelecyphora robbinsiorum,Cochiseia robbinsiorum,,,
2802628,Pelecyphora robbinsiorum,Coryphantha robbinsiorum,,,
2802629,Coryphantha sulcata,Mammillaria sulcata,,,
3236806,Copiapoa australis,Copiapoa humilis subsp. australis,,,
2802630,Mammillaria columbiana subsp. yucatanensis,Neomammillaria yucatanensis,,,
246731,Mammillaria camptotricha,Mammillaria decipiens subsp. camptotricha,,,
246733,Mammillaria conspicua,Mammillaria haageana subsp. conspicua,,,
