symbol,scientific_name,author
MAPA26,Mammillaria painteri Rose,Rose
ANCIS,Ancistrocactus (K. Schum.) Britton & Rose,Rose
ECENA2,Echinocereus engelmannii (Parry ex Engelm.) Lem. var. armatus L.D. Benson,Benson
ECPA8,Trichocereus pasacanus (F.A.C. Weber) Friedrich & G.D. Rowley,Rowley
OPCU,Opuntia ochrocentra Small,Small
FEVI2,Echinocactus viridescens Torr. & A. Gray,Gray
ECRON,Echinocereus ×roetteri (Engelm.) Rumpler  ×neomexicanus (J.M. Coult.) A.D. Zimmerman,Zimmerman
CYIM2,Cylindropuntia imbricata (Haw.) F.M. Knuth,Knuth
OPTU3,Opuntia turbinata Small,Small
SCSP2,Sclerocactus spinosior (Engelm.) Woodruff & L.D. Benson,Benson
OPBA2,Opuntia basilaris Engelm. & J.M. Bigelow,Bigelow
CONI16,Mammillaria nickelsiae K. Brandegee,Brandegee
CYAB2,Opuntia abysii Hester,Hester
OPENL2,Opuntia lindheimeri Engelm. var. linguiformis (Griffiths) L.D. Benson,Benson
ECHIN13,Echinomastus Britton & Rose,Rose
SCBR12,Sclerocactus whipplei (Engelm. & J. M. Bigelow) Britton & Rose var. ilseae (Hochstätter) S. L. Welsh,Welsh
CORO7,Coryphantha robustispina (Schott ex Engelm.) Britton & Rose,Rose
ECJO3,Sclerocactus johnsonii (Parry ex Engelm.) N.P. Taylor,Taylor
ESORK,"Escobaria orcuttii Boed. var. koenigii Castetter, Pierce & Schwerin",Schwerin
CYDA4,Opuntia tunicata (Lehm.) Link & Otto var. davisii (Engelm. & J.M. Bigelow) L.D. Benson,Benson
ECRE,Echinocereus reichenbachii (Terscheck ex Walp.) hort ex Haage,Haage
OPPON,Opuntia nicholii L.D. Benson,Benson
ECNI,Echinocereus engelmannii (Parry ex Engelm.) Lem. var. nicholii L.D. Benson,Benson
SCPAI2,Sclerocactus whipplei (Engelm. & J.M. Bigelow) Britton & Rose var. intermedius (Peebles) L.D. Benson,Benson
OPCH,Opuntia chlorotica Engelm. & J.M. Bigelow,Bigelow
OPMAM3,Opuntia tortispina Engelm. & J.M. Bigelow,Bigelow
CYNE5,Opuntia ×neoarbuscula Griffiths (pro sp.),pro sp.
CYMU11,Opuntia whipplei Engelm. & J.M. Bigelow var. multigeniculata (Clokey) L.D. Benson,Benson
ECPAP2,Echinocereus berlandieri (Engelm.) Haage var. papillosus (Linke ex Rümpler) L.D. Benson,Benson
CYCA25,Cylindropuntia californica (Torr. & A. Gray) F.M. Knuth,Knuth
CYFU10,Cylindropuntia fulgida (Engelm.) F.M. Knuth,Knuth
ECPO2,Echinocactus polycephalus Engelm. & J.M. Bigelow,Bigelow
ECREB2,Echinocereus reichenbachii (Terscheck ex Walp.) hort ex Haage var. baileyi (Rose) N.P. Taylor,Taylor
ECVIW,Echinocereus viridiflorus Engelm. var. weedinii (Leuck ex W. Blum & Mich. Lange) A.D. Zimmerman,Zimmerman
OPLIP,Opuntia phaeacantha Engelm. var. piercei Fosberg,Fosberg
MEIN7,Melocactus communis (Aiton) Link & Otto,Otto
BRASI,Brasiliopuntia (K. Schum.) A. Berger,Berger
OPAU7,Opuntia macrocentra Engelm. var. aureispina Brack & K.D. Heil,Heil
ECGA,Turbinicarpus gautii (L.D. Benson) A.D. Zimmerman,Zimmerman
GRPU3,Opuntia wiegandii (Backeb.) Rowley,Rowley
CYAC8,Cylindropuntia acanthocarpa (Engelm. & J.M. Bigelow) F.M. Knuth,Knuth
GLUNW,Sclerocactus uncinatus (Galeotti) N.P. Taylor ssp. wrightii (Engelm.) N.P. Taylor,Taylor
OPMA3,Opuntia macrocentra Engelm. var. martiniana L.D. Benson,Benson
OPLI3,Opuntia littoralis (Engelm.) Cockerell,Cockerell
TRPE24,Trichocereus peruvianus Britton & Rose,Rose
ECPS,Echinocereus pectinatus (Scheidw.) Engelm. var. minor auct. non (Engelm.) L.D. Benson,Benson
LEQU,Cereus quadricostatus Bello,Bello
ECPAA2,Echinocereus blanckii (Poselg.) hort. ex Palmer var. angusticeps (Clover) L.D. Benson,Benson
SCWR,Sclerocactus wrightiae L.D. Benson,Benson
CYWO,Opuntia wolfii (L.D. Benson) M.A. Baker,Baker
SCWH,Pediocactus whipplei (Engelm. & J.M. Bigelow) Arp,Arp
SCPU6,Sclerocactus pubispinus (Engelm.) L.D. Benson,Benson
ECBE,Echinocereus berlandieri (Engelm.) Haage,Haage
ECVID,Echinocereus viridiflorus Engelm. ssp. davisii (A.D. Houghton) N.P. Taylor,Taylor
FECYL,Ferocactus lecontei (Engelm.) Britton & Rose,Rose
ECWA3,Sclerocactus warnockii (L.D. Benson) N.P. Taylor,Taylor
THBI,Thelocactus bicolor (Galeotti ex N.E. Pfeiffer) Britton & Rose,Rose
OPSA3,Opuntia sanguinea Proctor,Proctor
TRCA31,Trichocereus callianthus F. Ritter,Ritter
PEST11,Wilcoxia striata (Brandegee) Britton & Rose,Rose
HATIO,Hatiora Britton & Rose,Rose
ECVIC6,Echinocereus viridiflorus Engelm. ssp. chloranthus (Engelm.) N.P. Taylor,Taylor
CYIMA,Opuntia imbricata (Haw.) DC. var. argentea Anthony,Anthony
NEOLL,Neolloydia Britton & Rose,Rose
ECVIR,Echinocereus viridiflorus Engelm. var. russanthus (D. Weniger) A.D. Zimmerman,Zimmerman
OPSA,Opuntia violacea Engelm. var. santa-rita (Griffiths & Hare) L.D. Benson,Benson
PESI,Pediocactus simpsonii (Engelm.) Britton & Rose,Rose
FEROC,Ferocactus Britton & Rose,Rose
OPOC2,Opuntia ×occidentalis Engelm. & J.M. Bigelow (pro sp.),pro sp.
CYACM,Opuntia echinocarpa Engelm. & J.M. Bigelow var. major Engelm. & J.M. Bigelow,Bigelow
ECENB,Echinocereus enneacanthus Engelm. var. carnosus (Rümpler) Quehl,Quehl
PACHY4,Pachycereus (A. Berger) Britton & Rose,Rose
LOCO20,Lobivia corbula (Herrera) Britton & Rose,Rose
ANBRP,Ancistrocactus brevihamatus (Engelm.) Britton & Rose var. pallidus A.D. Zimmerman ex A.M. Powell,Powell
SCPAH,Sclerocactus havasupaiensis Clover,Clover
MATE4,Phellosperma tetrancistra (Engelm.) Britton & Rose,Rose
FEHA2,Ferocactus hamatacanthus (Muehlenpf.) Britton & Rose,Rose
ESVIB,Coryphantha vivipara (Nutt.) Britton & Rose var. bisbeeana (Orcutt) L.D. Benson,Benson
SCME4,Pediocactus mesae-verdae (Boissev. & C. Davidson) Arp,Arp
CYKE4,Opuntia ×kelvinensis V.E. Grant & K.A. Grant,Grant
PEBR2,Pediocactus bradyi L.D. Benson,Benson
