genus,species,scientificName,acceptedNameUsage
Rhipsalis,Rhipsalis cereuscula,Rhipsalis simmleri Beauverd,Rhipsalis cereuscula
Ferocactus,Ferocactus lindsayi,Ferocactus lindsayi Bravo,Ferocactus lindsayi
Coryphantha,Coryphantha werdermannii,Coryphantha werdermannii Boed.,Coryphantha werdermannii
Mammillaria,Mammillaria purpurea,Mammillaria purpurea C.Ehrenb.,Mammillaria purpurea
Mammillaria,Mammillaria carmenae,Mammillaria carmenae Castañeda & Núñez,Mammillaria carmenae
Mammillaria,Mammillaria brandegeei,Mammillaria brandegeei (J.M.Coult.) Engelm. ex K.Brandegee,Mammillaria brandegeei
Pachycereus,Pachycereus gatesii,Lophocereus gatesii M.E.Jones,Lophocereus gatesii
Cereus,Cereus jamacaru,Cereus jamacaru DC.,Cereus jamacaru
Mammillaria,Mammillaria petrophila,Mammillaria petrophila K.Brandegee,Mammillaria petrophila
Mammillaria,Mammillaria xaltianguensis,Mammillaria xaltianguensis Sánchez-Mej.,Mammillaria xaltianguensis
Cochemiea,Cochemiea angelensis,Mammillaria angelensis R.T.Craig,Cochemiea angelensis
Grusonia,Grusonia parishiorum,Grusonia parishii (Orcutt) Pinkava,
Soehrensia,Soehrensia spachiana,Trichocereus spachianus (Lem.) Riccob.,Soehrensia spachiana
Cochemiea,Cochemiea cerralboa,Mammillaria cerralboa (Britton & Rose) Orcutt,Cochemiea cerralboa
Myrtillocactus,Myrtillocactus cochal,Myrtillocactus cochal (Orcutt) Britton & Rose,Myrtillocactus cochal
Cochemiea,Cochemiea maritima,Cochemiea maritima G.E.Linds.,Cochemiea maritima
Mammillaria,Mammillaria wiesingeri,Mammillaria wiesingeri Boed.,Mammillaria wiesingeri
Cochemiea,Cochemiea setispina,Cochemiea setispina (J.M.Coult.) Walton,Cochemiea setispina
Mammillaria,Mammillaria spinosissima,Mammillaria spinosissima Lem.,Mammillaria spinosissima
Ariocarpus,Ariocarpus agavoides,Ariocarpus agavoides (Castañeda) E.F.Anderson,Ariocarpus agavoides
Mammillaria,Mammillaria herrerae,Mammillaria herrerae Werderm.,Mammillaria herrerae
Epiphyllum,Epiphyllum thomasianum,Epiphyllum thomasianum (K.Schum.) Britton & Rose,Epiphyllum thomasianum
Grusonia,Grusonia clavata,Grusonia clavata (Engelm.) H.Rob.,Grusonia clavata
Mammillaria,Mammillaria knippeliana,Mammillaria knippeliana Quehl,Mammillaria knippeliana
Ferocactus,Ferocactus johnstonianus,Ferocactus johnstonianus Britton & Rose,Ferocactus johnstonianus
Mammillaria,Mammillaria evermanniana,Mammillaria evermanniana (Britton & Rose) Orcutt,Mammillaria evermanniana
Stenocereus,Stenocereus fricii,Stenocereus fricii Sánchez-Mej.,Stenocereus fricii
Kadenicarpus,Kadenicarpus pseudomacrochele,Turbinicarpus pseudomacrochele (Backeb.) Buxb. & Backeb.,Kadenicarpus pseudomacrochele
Selenicereus,Selenicereus stenopterus,Hylocereus stenopterus (F.A.C.Weber) Britton & Rose,
Pediocactus,Pediocactus knowltonii,Pediocactus knowltonii L.D.Benson,Pediocactus knowltonii
Cochemiea,Cochemiea albicans,Mammillaria albicans (Britton & Rose) A.Berger,Mammillaria albicans
Opuntia,Opuntia fragilis,Opuntia fragilis (Nutt.) Haw.,Opuntia fragilis
Echinocereus,Echinocereus stolonifer,Echinocereus stolonifer W.T.Marshall,Echinocereus stolonifer
Echinocereus,Echinocereus scopulorum,Echinocereus scopulorum Britton & Rose,Echinocereus scopulorum
Disocactus,Disocactus biformis,Disocactus biformis (Lindl.) Lindl.,Disocactus biformis
Disocactus,Disocactus macdougallii,Disocactus macdougallii (Alexander) Barthlott,Disocactus macdougallii
Mammillaria,Mammillaria sonorensis,Mammillaria sonorensis R.T.Craig,Mammillaria sonorensis
Ferocactus,Ferocactus cylindraceus,Ferocactus cylindraceus (Engelm.) Orcutt,Ferocactus cylindraceus
Stenocereus,Stenocereus martinezii,Stenocereus martinezii (J.G.Ortega) Buxb.,Stenocereus martinezii
Mammillaria,Mammillaria pringlei,Mammillaria pringlei (J.M.Coult.) K.Brandegee,Mammillaria pringlei
Mammillaria,Mammillaria peninsularis,Mammillaria peninsularis (Britton & Rose) Orcutt,Mammillaria peninsularis
Pacherocactus,Pacherocactus orcuttii,Pacherocactus orcuttii (Brandegee) G.D.Rowley,
Mammillaria,Mammillaria aureilanata,Mammillaria aureilanata Backeb.,Mammillaria aureilanata
Mammillaria,Mammillaria hutchisoniana,Mammillaria hutchisoniana (H.E.Gates) Backeb. & Knuth,Mammillaria hutchisoniana
Opuntia,Opuntia pottsii,Opuntia pottsii Salm-Dyck,Opuntia pottsii
Cochemiea,Cochemiea mainiae,Mammillaria mainiae K.Brandegee,Mammillaria mainiae
Pilosocereus,Pilosocereus gaumeri,Pilosocereus gaumeri (Britton & Rose) Backeb.,Pilosocereus gaumeri
Cochemiea,Cochemiea pondii,Mammillaria pondii Greene,Mammillaria pondii
Echinocactus,Echinocactus polycephalus,Echinocactus polycephalus Engelm. & J.M.Bigelow,Homalocephala polycephala
Rapicactus,Rapicactus mandragora,Thelocactus mandragora A.Berger,Rapicactus mandragora
Ferocactus,Ferocactus pottsii,Ferocactus pottsii (Salm-Dyck) Backeb.,Ferocactus pottsii
Selenicereus,Selenicereus tonduzii,Weberocereus tonduzii (F.A.C.Weber) G.D.Rowley,Selenicereus tonduzii
Mammillaria,Mammillaria wagneriana,Mammillaria wagneriana Boed.,Mammillaria wagneriana
Cochemiea,Cochemiea multidigitata,Mammillaria multidigitata Radley ex G.E.Linds.,Cochemiea multidigitata
Echinocereus,Echinocereus triglochidiatus,Echinocereus mojavensis (Engelm. & J.M.Bigelow) Engelm. ex Rümpler,Echinocereus triglochidiatus subsp. mojavensis
Pereskia,Pereskia grandifolia,Pereskia grandifolia Haw.,Pereskia grandifolia
Echinocereus,Echinocereus pacificus,Echinocereus pacificus (Engelm.) F.Haage,Echinocereus pacificus
Opuntia,Opuntia gallegiana,Opuntia gallegiana Scheinvar & Olalde,Opuntia gallegiana
Acanthocereus,Acanthocereus chiapensis,Acanthocereus chiapensis Bravo,Acanthocereus chiapensis
Echinocereus,Echinocereus arizonicus,Echinocereus arizonicus Rose ex Orcutt,
Echinocereus,Echinocereus nicholii,Echinocereus nicholii (L.D.Benson) B.D.Parfitt,Echinocereus nicholii
Austrocylindropuntia,Austrocylindropuntia subulata,Austrocylindropuntia subulata (Muehlenpf.) Backeb.,Austrocylindropuntia subulata
Cylindropuntia,Cylindropuntia ganderi,Opuntia ganderi (C.B.Wolf) Rebman & Pinkava,Cylindropuntia ganderi
Ferocactus,Ferocactus fordii,Ferocactus fordii (Orcutt) Britton & Rose,Ferocactus fordii
Epiphyllum,Epiphyllum grandilobum,Epiphyllum grandilobum (F.A.C.Weber) Britton & Rose,Epiphyllum grandilobum
Echinocereus,Echinocereus schmollii,Echinocereus schmollii (Weing.) N.P.Taylor,Echinocereus schmollii
Coryphantha,Coryphantha maiz-tablasensis,Coryphantha maiz-tablasensis Fritz Schwarz,Coryphantha maiz-tablasensis
Echinocereus,Echinocereus viridiflorus,Echinocereus viridiflorus Engelm.,Echinocereus viridiflorus
Aztekonia,Aztekonia hintonii,Aztekium hintonii Glass & W.A.Fitz Maur.,Aztekium hintonii
Lepismium,Lepismium houlletianum,Lepismium houlletianum (Lem.) Barthlott,Lepismium houlletianum
Mammillaria,Mammillaria guerreronis,Mammillaria guerreronis (Bravo) Boed.,Mammillaria guerreronis
Strombocactus,Strombocactus corregidorae,Strombocactus corregidorae S.Arias & E.Sánchez,Chichimecactus corregidorae
Selenicereus,Selenicereus minutiflorus,Hylocereus minutiflorus Britton & Rose,Selenicereus minutiflorus
Selenicereus,Selenicereus guatemalensis,Hylocereus guatemalensis (Eichlam ex Weing.) Britton & Rose,Selenicereus guatemalensis
Opuntia,Opuntia humifusa,Opuntia compressa J.F.Macbr.,Opuntia humifusa subsp. humifusa
Selenicereus,Selenicereus calcaratus,Hylocereus calcaratus (F.A.C.Weber) Britton & Rose,
Rapicactus,Rapicactus zaragosae,Turbinicarpus zaragosae (Glass & R.A.Foster) C.E.Glass & Hofer,Rapicactus zaragozae
Pilosocereus,Pilosocereus polygonus,Pilosocereus royenii (L.) Byles & G.D.Rowley,Pilosocereus royenii
Mammillaria,Mammillaria schwarzii,Mammillaria schwarzii Shurly,Mammillaria schwarzii
Cochemiea,Cochemiea guelzowiana,Mammillaria guelzowiana Werderm.,Cochemiea guelzowiana
Mammillaria,Mammillaria varieaculeata,Mammillaria varieaculeata Franc.G.Buchenau,Mammillaria varieaculeata
Sclerocactus,Sclerocactus polyancistrus,Sclerocactus polyancistrus (Engelm. & J.M.Bigelow) Britton & Rose,Sclerocactus polyancistrus
Mammillaria,Mammillaria hernandezii,Mammillaria hernandezii Glass & R.A.Foster,Mammillaria hernandezii
Cochemiea,Cochemiea palmeri,Mammillaria neopalmeri R.T.Craig,Cochemiea palmeri
Consolea,Consolea moniliformis,Opuntia moniliformis (L.) Haw. ex Steud.,Consolea moniliformis subsp. moniliformis
Opuntia,Opuntia bravoana,Opuntia bravoana E.M.Baxter,Opuntia bravoana
Epiphyllum,Epiphyllum laui,Epiphyllum laui Kimnach,Epiphyllum laui
Mammillaria,Mammillaria laui,Mammillaria laui D.R.Hunt,Mammillaria laui
Opuntia,Opuntia cubensis,Opuntia × cubensis Britton & Rose,
Cochemiea,Cochemiea wrightii,Mammillaria wrightii Engelm.,Mammillaria wrightii
Myrtgerocactus,Myrtgerocactus lindsayi,× Myrtgerocactus lindsayi Moran,
Mammillaria,Mammillaria crucigera,Mammillaria crucigera Mart.,Mammillaria crucigera
Thelocactus,Thelocactus macdowellii,Thelocactus macdowellii (Rebut ex Quehl) W.T.Marshall,Thelocactus macdowellii
Cochemiea,Cochemiea tetrancistra,Mammillaria tetrancistra Engelm.,Mammillaria tetrancistra
Mammillaria,Mammillaria albiflora,Mammillaria albiflora (Werderm.) Backeb.,Mammillaria albiflora
Echinocereus,Echinocereus barthelowanus,Echinocereus barthelowanus Britton & Rose,Echinocereus barthelowanus
Leuenbergeria,Leuenbergeria guamacho,Pereskia guamacho F.A.C.Weber,Leuenbergeria guamacho
Weberocereus,Weberocereus bradei,Weberocereus bradei (Britton & Rose) D.R.Hunt,Weberocereus bradei
Opuntia,Opuntia demissa,Opuntia × demissa Griffiths,
Pelecyphora,Pelecyphora vivipara,Coryphantha vivipara (Nutt.) Britton & Rose,Escobaria vivipara
Pelecyphora,Pelecyphora zilziana,Escobaria zilziana (Boed.) Backeb.,Escobaria zilziana
Weberocereus,Weberocereus imitans,Weberocereus imitans (Kimnach & Hutchison) D.R.Hunt,Weberocereus imitans
Turbinicarpus,Turbinicarpus laui,Turbinicarpus laui Glass & R.A.Foster,Turbinicarpus laui
Opuntia,Opuntia vulgaris,"Opuntia vulgaris Ten., 1831",Opuntia humifusa
Opuntia,Opuntia elata,Opuntia elata Link & Otto,Opuntia elata
Mammillaria,Mammillaria fuscata,Mammillaria fuscata Link & Otto,Mammillaria rhodantha subsp. rhodantha
Peniocereus,Peniocereus johnstonii,Peniocereus johnstonii Britton & Rose,Peniocereus johnstonii
Sclerocactus,Sclerocactus johnsonii,Neolloydia johnsonii (Parry ex Engelm.) L.D.Benson,
Thelocactus,Thelocactus buekii,Thelocactus buekii (E.Klein bis) Britton & Rose,Thelocactus buekii
Mammillaria,Mammillaria marksiana,Mammillaria marksiana Krainz,Mammillaria marksiana
Coryphantha,Coryphantha asterias,Coryphantha asterias Cels,Coryphantha ottonis
Opuntia,Opuntia drummondii,Opuntia drummondii Graham,Opuntia drummondii
Coryphantha,Coryphantha recurvata,Coryphantha recurvata (Engelm.) Britton & Rose,Coryphantha recurvata
Echinocereus,Echinocereus websterianus,Echinocereus websterianus G.E.Linds.,Echinocereus websterianus
Disocactus,Disocactus lepidocarpus,Epiphyllum lepidocarpum (F.A.C.Weber) Britton & Rose,Disocactus lepidocarpus
Parrycactus,Parrycactus schwarzii,Ferocactus schwarzii G.E.Linds.,Ferocactus schwarzii
Opuntia,Opuntia setispina,"Opuntia setispina Engelm., 1850",Opuntia macrorhiza subsp. pottsii
Disocactus,Disocactus quezaltecus,Disocactus quezaltecus (Standl. & Steyerm.) Kimnach,Disocactus quezaltecus
